molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,document_chembl_id
CHEMBL2171748,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)ncc1Cl,AMQCBROKDRYSQO-UHFFFAOYSA-N,8.22,CHEMBL2169739
CHEMBL5963845,Cc1c(F)cc(N)cc1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)cn2c1,AMTAVDNQWYNJJD-HIFRSBDPSA-N,7.26,CHEMBL5728679
CHEMBL3977672,CC(C)Oc1cc2c(-c3cc(N4CCN(C5CC5)CC4)ncn3)n[nH]c2cc1F,ANEJRQTZAILVQX-UHFFFAOYSA-N,8.4,CHEMBL3886204
CHEMBL3980700,Cc1cc(-c2cc(Nc3ccn(C)n3)nc3[nH]cc(C#N)c23)ccc1CN1CCOCC1,ANIYDVYTJUHGSI-UHFFFAOYSA-N,8.7,CHEMBL3887011
CHEMBL5173076,Cc1cc(S(N)(=O)=O)cc(-c2ccc(-c3c(-c4ccncc4)n[nH]c3C)cc2)c1C,ANMFTTOLZFXYOB-UHFFFAOYSA-N,6.32,CHEMBL5131546
CHEMBL5886773,COc1nn(C(C)C)cc1Nc1ncc2c(Cl)cn(C)c2n1,ANNKHCURQDWZTC-UHFFFAOYSA-N,7.26,CHEMBL5729179
CHEMBL3912951,Cc1cccc(-c2ccnc3[nH]cc(C#N)c23)c1,ANPOAAOWVMMUTG-UHFFFAOYSA-N,7.0912,CHEMBL4028875
CHEMBL6027189,CC(=O)NC12C3C4C1C1C2C3C41COc1ccnc(Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)cc2)n1,ANWBDSTYSGNLOJ-LAAXMYGRSA-N,6.52,CHEMBL5729586
CHEMBL3981561,Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCNC(=O)C5)ncn4)c3c2)cn1,ANWHVLNILFQOEK-UHFFFAOYSA-N,8.55,CHEMBL3886204
CHEMBL3914976,CC(C)Oc1cc2c(-c3cc(N4C[C@@H](C)O[C@@H](C)C4)ncn3)n[nH]c2cc1F,AOALIAVVGDNCRK-BETUJISGSA-N,8.1,CHEMBL3886204
CHEMBL5969630,COc1cccc(Nc2ccc3c(NC(C)C)c(C(N)=O)nnc3c2)c1,AOBAOBXASIYUHP-UHFFFAOYSA-N,6.62,CHEMBL5725672
CHEMBL3643988,CCNc1nc(Nc2cc(F)c(C(=O)N(CC)CCOC)cc2OC)ncc1C(F)(F)F,AOBNXDBLCBHRGZ-UHFFFAOYSA-N,8.85,CHEMBL3639246
CHEMBL3651766,c1cc(-c2n[nH]c3ccnc(OC4CCOCC4)c23)cc(N2CCCC2)n1,AOEBFKZJGQPEOC-UHFFFAOYSA-N,8.52,CHEMBL3638634
CHEMBL5075824,Cc1nn(C2COC2)cc1Nc1nc(N)c2c(C#N)c(N3CCC[C@H]3C)n(C)c2n1,AOLGLZIHIDPSGC-LLVKDONJSA-N,7.1225,CHEMBL5038598
CHEMBL3966226,CC(=O)NC1CCN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CC1,AORYJHIFGADLFZ-UHFFFAOYSA-N,7.01,CHEMBL3886286
CHEMBL3971053,CNc1nc(Nc2ccc(S(C)(=O)=O)cc2OCCF)ncc1Cl,APLNOTQKAPXFAR-UHFFFAOYSA-N,7.92,CHEMBL3886159
CHEMBL3931039,CC(C)=Cc1ccc2[nH]nc(-c3cc(N4CCN(C)CC4)ncn3)c2c1,APUVCOCNRPZUOL-UHFFFAOYSA-N,7.48,CHEMBL3886204
CHEMBL3681034,CNc1nc(Nc2cc(F)c(-c3nnc(C)o3)cc2OC)ncc1C(F)(F)F,APWRCHXRKWSRBQ-UHFFFAOYSA-N,7.92,CHEMBL3638831
CHEMBL5857053,CCNc1nc(Nc2cc(C3(C)CCn4ncnc43)nn2C2CC2)ncc1C(F)(F)F,APXLOCHNXIPFHK-UHFFFAOYSA-N,8.83,CHEMBL5729611
CHEMBL3681031,CNc1nc(Nc2ccc(-n3cnnn3)cc2OC)ncc1C(F)(F)F,AQHSOZLHYMNRDO-UHFFFAOYSA-N,8.7,CHEMBL3638831
CHEMBL1992125,COc1cc(Nc2ncnc(N3CCCc4cc(C)ccc43)n2)cc(OC)c1OC,AQKQATGZIKRZMQ-UHFFFAOYSA-N,5.6,CHEMBL1201862
CHEMBL6003180,Cc1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(-c3ccnnc3)c2c1,AQOWMNYLELMLDA-UHFFFAOYSA-N,6.26,CHEMBL5729282
CHEMBL5998672,N#CC1(c2cc3c(cn2)cnn3-c2cc(N3CCN4CCOC[C@@H]4C3)ncn2)CC2(CC2)C1,AQTHQUQYHWXCTI-SFHVURJKSA-N,8.06,CHEMBL5728827
CHEMBL5962678,C[C@@H]1CC(n2c(C3CCOC3)nc3cnc4ccc(C(F)(F)F)cc4c32)CCO1,AQUBNYMUBLTORS-DNOWBOINSA-N,8.125,CHEMBL5728780
CHEMBL2348979,Cc1cc2nnc(-c3cccs3)n2nc1Sc1cccc(C(F)(F)F)c1,ARBUUXMODJUTNK-UHFFFAOYSA-N,5.68,CHEMBL2346543
CHEMBL6063444,CNc1nc(Nc2cn(C(C)COC(F)F)nc2C)ncc1C(F)(F)F,AROAZJMAROHOAT-UHFFFAOYSA-N,7.35,CHEMBL5728916
CHEMBL5901829,CCn1nc(Cl)c2cnc(Nc3cn(C4CCCN(C(=O)C5CC5)CC4)nc3Cl)nc21,ARSZBSQNKJQZIX-UHFFFAOYSA-N,8.275,CHEMBL5729179
CHEMBL4795392,C[C@@]1(N2CCN(c3cc4c(cnn4-c4cnn(C56CC(C5)C6)c4)cc3Cl)CC2)CC[C@H]1O,ARZRVTYNXYNKIE-JUZABBTASA-N,6.81,CHEMBL4680359
CHEMBL5910102,COc1ccc(Br)cc1-c1ccc2c(N[C@H](C)C3CC3)c(C(N)=O)nnc2c1,ASEZYBWPYPAHSZ-LLVKDONJSA-N,6.15,CHEMBL5725672
CHEMBL5760753,CCn1nc(Cl)c2cnc(Nc3cn(C4CCN(C(C)=O)CC4)nc3Cl)nc21,ASIZZHXCHXVHGG-UHFFFAOYSA-N,8.265,CHEMBL5729179
CHEMBL3953967,CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCC(F)(F)CC4)ncn3)c2c1,ASJVKVBUONRFPY-UHFFFAOYSA-N,7.765,CHEMBL3886204
CHEMBL4560969,N#Cc1cccc(NC(=O)c2cc(C(F)(F)F)ccc2OCc2ccc(F)cc2)c1,ASNNCILBXQEACW-UHFFFAOYSA-N,8.1,CHEMBL4371037
CHEMBL1967998,CCN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1,ASOBSKNWRJNQBK-UHFFFAOYSA-N,7.5,CHEMBL1201862
CHEMBL3651741,CC(C)Oc1nccc2[nH]nc(-c3cc(C(=O)N(C)C)n(C(C)C)c3)c12,ASRUZXIOSOTWSC-UHFFFAOYSA-N,7.75,CHEMBL3638634
CHEMBL3641893,CCNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC(F)(F)F)ncc1C(F)(F)F,ASUKAUFPAYCGBE-UHFFFAOYSA-N,8.02,CHEMBL3639246
CHEMBL17466,CC1(C)CC(=O)c2c(SCCO)sc(-c3cc[nH]n3)c2C1,ASUXILMTDDVWPD-UHFFFAOYSA-N,6.455,CHEMBL3797078
CHEMBL3949950,COCCOc1ccc2[nH]nc(-c3cc(N4CC5CCC(C4)O5)ncn3)c2c1,ASYNLOGXSDRMEP-UHFFFAOYSA-N,6.81,CHEMBL3886204
CHEMBL5921757,COCc1cn(Cc2nc3cnc4ccc(F)cc4c3n2C2CN(C)CC2(F)F)nn1,ATAOFFIDVVYZBN-UHFFFAOYSA-N,8.125,CHEMBL5729083
CHEMBL5940763,CN[C@H]1CC[C@H](COc2ccnc(Nc3cc(F)c(C(=O)N4CCOCC4)cc3OC)n2)CC1,ATCPUFNYCSHKJN-QAQDUYKDSA-N,6.9,CHEMBL5729586
CHEMBL1993877,C#Cc1cn(C2CCCC2)c2ncnc(N)c12,ATGVCJYHNOSZEV-UHFFFAOYSA-N,7.0,CHEMBL1201862
CHEMBL4098877,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1,ATUUNJCZCOMUKD-OKILXGFUSA-N,8.7631,CHEMBL5236618
CHEMBL5946567,Cc1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(-c3ccc4ocnc4c3)c2c1,ATZQJAMBILUNCH-UHFFFAOYSA-N,6.26,CHEMBL5729282
CHEMBL1996048,Cc1ccc(-c2cc3c(NCCN)ccc(C(N)=O)c3[nH]2)cc1,AUDNGNGLLRZLDR-UHFFFAOYSA-N,6.8,CHEMBL1201862
CHEMBL5174552,Cc1ccc(Nc2ccc3[nH]nc(-c4ccncc4)c3c2)c(C#N)c1,AUJMMKVJUKYWCO-UHFFFAOYSA-N,7.4167,CHEMBL5154686
CHEMBL5771335,CC(C)Oc1ccc2cnn(-c3ccnc(N4CCC(O)C4)c3)c2c1,AULKBCQOSJJVMD-UHFFFAOYSA-N,6.51,CHEMBL5728350
CHEMBL3651804,CC(C)c1nc(-c2n[nH]c3ccnc(NC4CCOCC4)c23)n[nH]1,AUXQFFMCGGOSJT-UHFFFAOYSA-N,7.9067,CHEMBL3638634
CHEMBL4475494,CC(C)(O)[C@H](F)CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,AUYCSWFYKYVCLD-HXUWFJFHSA-N,5.99,CHEMBL4879554
CHEMBL5091544,CN(C)c1c(C#N)c2c(N)ncnc2n1C,AVCXKTAKKJOBFG-UHFFFAOYSA-N,6.075,CHEMBL5038598
CHEMBL3898649,N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCC(F)C4)c23)c1,AVJKBMZZZJEKJL-UHFFFAOYSA-N,7.51,CHEMBL3886286
CHEMBL2403369,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCN(C)CC1)C3)C(=O)N2,AVQNZSIEXOYAGE-UNOMPAQXSA-N,8.05,CHEMBL2401634
CHEMBL2178125,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,AVURIMQQYOEIAY-UHFFFAOYSA-N,8.34,CHEMBL2176933
CHEMBL4443438,O=C(Nc1ccnnc1)c1cc(N2CCC(O)CC2)ccc1OCc1ccccc1,AWBFKQBDZYCFSP-UHFFFAOYSA-N,7.4,CHEMBL4371037
CHEMBL3798511,CC1(C)CC(=O)c2c(NC3CCCC3)sc(-c3cc[nH]n3)c2C1,AWCINGNKROPPRD-UHFFFAOYSA-N,6.28,CHEMBL3797078
CHEMBL406821,Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12,AWDORCFLUJZUQS-ZDUSSCGKSA-N,6.5,CHEMBL2396520
CHEMBL3798395,CC1(C)CC(=O)c2c(SCc3ccccc3)sc(-c3cc[nH]n3)c2C1,AWMMEMLUWGKDDE-UHFFFAOYSA-N,6.06,CHEMBL3797078
CHEMBL5912095,COc1cc(C(=O)N2CCOCC2)ccc1Nc1nc(OC)c2cc[nH]c2n1,AWNQBDLDJQVAMQ-UHFFFAOYSA-N,7.445,CHEMBL5725226
